"",x,y,ph
0,-2.5,2.5,17
1,-2.5,2.5,37
2,-2.5,2.5,30
3,-2.5,2.5,30
4,-2.5,2.5,20
5,-2.5,2.5,26
6,-2.5,2.5,24
7,-2.5,2.5,19
8,-2.5,2.5,17
9,-2.5,2.5,22
10,-2.5,2.5,29
11,-2.5,2.5,25
12,-2.5,2.5,33
13,-2.5,2.5,26
14,-2.5,2.5,28
15,-2.5,2.5,19
16,-2.5,2.5,27
17,-2.5,2.5,24
18,-2.5,2.5,21
19,-2.5,2.5,21
20,-2.5,2.5,24
21,-2.5,2.5,22
22,-2.5,2.5,26
23,-2.5,2.5,25
24,-2.5,2.5,24
25,-2.5,2.5,23
26,-2.5,2.5,30
27,-2.5,2.5,23
28,-2.5,2.5,29
29,-2.5,2.5,29
30,-2.5,2.5,25
31,-2.5,2.5,24
32,-2.5,2.5,26
33,-2.5,2.5,24
34,-2.5,2.5,22
35,-2.5,2.5,34
36,-2.5,2.5,25
37,-2.5,2.5,20
38,-2.5,2.5,30
39,-2.5,2.5,17
40,-2.5,2.5,34
41,-2.5,2.5,18
42,-2.5,2.5,24
43,-2.5,2.5,21
44,-2.5,2.5,22
45,-2.5,2.5,26
46,-2.5,2.5,17
47,-2.5,2.5,19
48,-2.5,2.5,25
49,-2.5,2.5,19
50,-2.5,2.5,31
51,-2.5,2.5,23
52,-2.5,2.5,22
53,-2.5,2.5,25
54,-2.5,2.5,19
55,-2.5,2.5,29
56,-2.5,2.5,20
57,-2.5,2.5,44
58,-2.5,2.5,24
59,-2.5,2.5,26
60,-2.5,2.5,24
61,-2.5,2.5,18
62,-2.5,2.5,28
63,-2.5,2.5,10
64,-2.5,2.5,22
65,-2.5,2.5,27
66,-2.5,2.5,20
67,-2.5,2.5,24
68,-2.5,2.5,15
69,-2.5,2.5,24
70,-2.5,2.5,28
71,-2.5,2.5,35
72,-2.5,2.5,33
73,-2.5,2.5,15
74,-2.5,2.5,30
75,-2.5,2.5,24
76,-2.5,2.5,41
77,-2.5,2.5,25
78,-2.5,2.5,31
79,-2.5,2.5,22
80,-2.5,2.5,20
81,-2.5,2.5,20
82,-2.5,2.5,25
83,-2.5,2.5,19
84,-2.5,2.5,23
85,-2.5,2.5,24
86,-2.5,2.5,30
87,-2.5,2.5,18
88,-2.5,2.5,26
89,-2.5,2.5,17
90,-2.5,2.5,22
91,-2.5,2.5,25
92,-2.5,2.5,19
93,-2.5,2.5,24
94,-2.5,2.5,26
95,-2.5,2.5,19
96,-2.5,2.5,23
97,-2.5,2.5,26
98,-2.5,2.5,24
99,-2.5,2.5,18
100,-2.5,2.5,25
101,-2.5,2.5,25
102,-2.5,2.5,21
103,-2.5,2.5,23
104,-2.5,2.5,25
105,-2.5,2.5,15
106,-2.5,2.5,32
107,-2.5,2.5,25
108,-2.5,2.5,23
109,-2.5,2.5,19
110,-2.5,2.5,25
111,-2.5,2.5,19
112,-2.5,2.5,20
113,-2.5,2.5,20
114,-2.5,2.5,28
115,-2.5,2.5,17
116,-2.5,2.5,21
117,-2.5,2.5,22
118,-2.5,2.5,23
119,-2.5,2.5,25
120,-2.5,2.5,19
121,-2.5,2.5,23
122,-2.5,2.5,24
123,-2.5,2.5,24
124,-2.5,2.5,29
125,-2.5,2.5,23
126,-2.5,2.5,29
127,-2.5,2.5,28
128,-2.5,2.5,27
129,-2.5,2.5,28
130,-2.5,2.5,29
131,-2.5,2.5,29
132,-2.5,2.5,14
133,-2.5,2.5,31
134,-2.5,2.5,21
135,-2.5,2.5,26
136,-2.5,2.5,22
137,-2.5,2.5,21
138,-2.5,2.5,20
139,-2.5,2.5,21
140,-2.5,2.5,35
141,-2.5,2.5,20
142,-2.5,2.5,29
143,-2.5,2.5,24
144,-2.5,2.5,28
145,-2.5,2.5,18
146,-2.5,2.5,20
147,-2.5,2.5,21
148,-2.5,2.5,30
149,-2.5,2.5,24
150,-2.5,2.5,28
151,-2.5,2.5,21
152,-2.5,2.5,23
153,-2.5,2.5,24
154,-2.5,2.5,24
155,-2.5,2.5,15
156,-2.5,2.5,25
157,-2.5,2.5,19
158,-2.5,2.5,25
159,-2.5,2.5,23
160,-2.5,2.5,26
161,-2.5,2.5,11
162,-2.5,2.5,31
163,-2.5,2.5,29
164,-2.5,2.5,18
165,-2.5,2.5,15
166,-2.5,2.5,24
167,-2.5,2.5,29
168,-2.5,2.5,22
169,-2.5,2.5,16
170,-2.5,2.5,21
171,-2.5,2.5,26
172,-2.5,2.5,27
173,-2.5,2.5,15
174,-2.5,2.5,20
175,-2.5,2.5,16
176,-2.5,2.5,30
177,-2.5,2.5,28
178,-2.5,2.5,23
179,-2.5,2.5,15
180,-2.5,2.5,27
181,-2.5,2.5,27
182,-2.5,2.5,25
183,-2.5,2.5,24
184,-2.5,2.5,22
185,-2.5,2.5,22
186,-2.5,2.5,23
187,-2.5,2.5,25
188,-2.5,2.5,19
189,-2.5,2.5,26
190,-2.5,2.5,23
191,-2.5,2.5,23
192,-2.5,2.5,9
193,-2.5,2.5,24
194,-2.5,2.5,22
195,-2.5,2.5,29
196,-2.5,2.5,23
197,-2.5,2.5,25
198,-2.5,2.5,18
199,-2.5,2.5,17
200,-2.5,2.5,20
201,-2.5,2.5,33
202,-2.5,2.5,23
203,-2.5,2.5,18
204,-2.5,2.5,25
205,-2.5,2.5,21
206,-2.5,2.5,28
207,-2.5,2.5,18
208,-2.5,2.5,27
209,-2.5,2.5,22
210,-2.5,2.5,23
211,-2.5,2.5,21
212,-2.5,2.5,19
213,-2.5,2.5,19
214,-2.5,2.5,26
215,-2.5,2.5,23
216,-2.5,2.5,21
217,-2.5,2.5,22
218,-2.5,2.5,25
219,-2.5,2.5,23
220,-2.5,2.5,19
221,-2.5,2.5,21
222,-2.5,2.5,26
223,-2.5,2.5,31
224,-2.5,2.5,23
225,-2.5,2.5,23
226,-2.5,2.5,38
227,-2.5,2.5,24
228,-2.5,2.5,24
229,-2.5,2.5,21
230,-2.5,2.5,19
231,-2.5,2.5,20
232,-2.5,2.5,27
233,-2.5,2.5,15
234,-2.5,2.5,20
235,-2.5,2.5,27
236,-2.5,2.5,26
237,-2.5,2.5,27
238,-2.5,2.5,26
239,-2.5,2.5,25
240,-2.5,2.5,22
241,-2.5,2.5,15
242,-2.5,2.5,18
243,-2.5,2.5,20
244,-2.5,2.5,23
245,-2.5,2.5,20
246,-2.5,2.5,21
247,-2.5,2.5,13
248,-2.5,2.5,20
249,-2.5,2.5,21
250,-2.5,2.5,26
251,-2.5,2.5,19
252,-2.5,2.5,25
253,-2.5,2.5,27
254,-2.5,2.5,15
255,-2.5,2.5,19
256,-2.5,2.5,21
257,-2.5,2.5,27
258,-2.5,2.5,23
259,-2.5,2.5,19
260,-2.5,2.5,23
261,-2.5,2.5,27
262,-2.5,2.5,21
263,-2.5,2.5,18
264,-2.5,2.5,26
265,-2.5,2.5,31
266,-2.5,2.5,16
267,-2.5,2.5,24
268,-2.5,2.5,22
269,-2.5,2.5,23
270,-2.5,2.5,15
271,-2.5,2.5,21
272,-2.5,2.5,23
273,-2.5,2.5,20
274,-2.5,2.5,18
275,-2.5,2.5,13
276,-2.5,2.5,34
277,-2.5,2.5,25
278,-2.5,2.5,25
279,-2.5,2.5,24
280,-2.5,2.5,20
281,-2.5,2.5,28
282,-2.5,2.5,19
283,-2.5,2.5,29
284,-2.5,2.5,20
285,-2.5,2.5,22
286,-2.5,2.5,22
287,-2.5,2.5,25
288,-2.5,2.5,23
289,-2.5,2.5,20
290,-2.5,2.5,32
291,-2.5,2.5,18
292,-2.5,2.5,20
293,-2.5,2.5,20
294,-2.5,2.5,24
295,-2.5,2.5,31
296,-2.5,2.5,18
297,-2.5,2.5,26
298,-2.5,2.5,14
299,-2.5,2.5,30
300,-2.5,2.5,17
301,-2.5,2.5,27
302,-2.5,2.5,32
303,-2.5,2.5,23
304,-2.5,2.5,22
305,-2.5,2.5,24
306,-2.5,2.5,20
307,-2.5,2.5,24
308,-2.5,2.5,18
309,-2.5,2.5,20
310,-2.5,2.5,17
311,-2.5,2.5,18
312,-2.5,2.5,20
313,-2.5,2.5,23
314,-2.5,2.5,27
315,-2.5,2.5,24
316,-2.5,2.5,23
317,-2.5,2.5,22
318,-2.5,2.5,21
319,-2.5,2.5,22
320,-2.5,2.5,19
321,-2.5,2.5,20
322,-2.5,2.5,18
323,-2.5,2.5,23
324,-2.5,2.5,28
325,-2.5,2.5,28
326,-2.5,2.5,19
327,-2.5,2.5,22
328,-2.5,2.5,24
329,-2.5,2.5,16
330,-2.5,2.5,23
331,-2.5,2.5,23
332,-2.5,2.5,22
333,-2.5,2.5,25
334,-2.5,2.5,19
335,-2.5,2.5,24
